player_name,player_name_season,season,plus_minus,minutes,pat,player_minutes_category,pie_pra,mantrap,santrap,primary_team_name,example_sentence
Alex Abrines,"Alex Abrines, 2016",2016,-10,1067.85,-0.036958137,All,0.039128529,0.065389104,0.325312265,Oklahoma City Thunder,
Alex Abrines,"Alex Abrines, 2017",2017,41,1133.9,-0.021291766,All,0.03479431,0.032260309,0.187158237,Oklahoma City Thunder,
Alex Abrines,"Alex Abrines, 2018",2018,29,588.1666667,-0.076735914,All,0.015637717,0.034892774,0.296337019,Oklahoma City Thunder,
Quincy Acy,"Quincy Acy, 2015",2015,-128,875.9,-0.089512293,All,0.03472673,0.120767407,0.436031437,Sacramento Kings,
Quincy Acy,"Quincy Acy, 2016",2016,-34,557.75,0.030745858,All,0.024904339,0.060838209,0.331731355,Brooklyn Nets,
Quincy Acy,"Quincy Acy, 2017",2017,-60,1358.983333,0.024287351,Rotation,0.052303777,0.119767905,0.406638642,Brooklyn Nets,
Quincy Acy,"Quincy Acy, 2018",2018,0,113.5,0.261574074,All,0.002778881,0.007793311,0.30698984,Phoenix Suns,
Steven Adams,"Steven Adams, 2015",2015,481,2014.366667,0.088065214,Starter,0.08748255,0.362001976,0.627413519,Oklahoma City Thunder,
Steven Adams,"Steven Adams, 2016",2016,194,2389.35,0.065541017,Star,0.109685094,0.340158544,0.594055462,Oklahoma City Thunder,
Steven Adams,"Steven Adams, 2017",2017,322,2486.666667,0.062151467,Superstar,0.128796617,0.431536744,0.658446844,Oklahoma City Thunder,
Steven Adams,"Steven Adams, 2018",2018,395,2396.966667,0.089876742,Superstar,0.1250436,0.54761803,0.750496881,Oklahoma City Thunder,
Steven Adams,"Steven Adams, 2019",2019,153,1661.283333,0.039716522,Starter,0.108051118,0.373097528,0.617586786,Oklahoma City Thunder,
Steven Adams,"Steven Adams, 2020",2020,18,1561.133333,0.01503026,Starter,0.079385774,0.171275645,0.425942664,New Orleans Pelicans,
Steven Adams,"Steven Adams, 2021",2021,353,1998.433333,0.054500962,Star,0.088701607,0.335293688,0.603632421,Memphis Grizzlies,
Steven Adams,"Steven Adams, 2022",2022,235,1055,0.123917784,Rotation,0.06156406,0.293190843,0.618249061,Memphis Grizzlies,
Steven Adams,"Steven Adams, 2024",2024,174,795,0.124548915,All,0.04328627,0.10149418,0.386385692,Houston Rockets,
Arron Afflalo,"Arron Afflalo, 2015",2015,-144,2370.916667,-0.007991115,Star,0.093398974,0.158391752,0.398818564,New York Knicks,
Arron Afflalo,"Arron Afflalo, 2016",2016,-260,1579.816667,-0.094348293,Rotation,0.05243192,0.035604561,0.190185387,Sacramento Kings,
Arron Afflalo,"Arron Afflalo, 2017",2017,-99,681.4666667,-0.038579779,All,0.020762379,0.017821496,0.156583893,Orlando Magic,
Alexis Ajinca,"Alexis Ajinca, 2015",2015,-64,860.7,0.014242956,All,0.048809436,0.176241452,0.491195357,New Orleans Pelicans,
Alexis Ajinca,"Alexis Ajinca, 2016",2016,-64,584.35,-0.074729588,All,0.029194739,0.05992155,0.314231327,New Orleans Pelicans,
Cole Aldrich,"Cole Aldrich, 2015",2015,-22,799.6333333,-0.116014879,All,0.045281162,0.165904454,0.464384099,LA Clippers,
Cole Aldrich,"Cole Aldrich, 2016",2016,-30,531.0333333,-0.033519632,All,0.023938275,0.044684476,0.306224866,Minnesota Timberwolves,
Cole Aldrich,"Cole Aldrich, 2017",2017,-2,48.68333333,-0.087715303,All,0.002196423,0.002360779,0.122323251,Minnesota Timberwolves,
LaMarcus Aldridge,"LaMarcus Aldridge, 2015",2015,512,2275.066667,0.005523144,Star,0.150767178,0.332851188,0.586004754,San Antonio Spurs,
LaMarcus Aldridge,"LaMarcus Aldridge, 2016",2016,269,2334.983333,-0.026369397,Star,0.13277339,0.154485933,0.426232441,San Antonio Spurs,
LaMarcus Aldridge,"LaMarcus Aldridge, 2017",2017,283,2512.85,0.041605872,Superstar,0.169100922,0.401004725,0.63435637,San Antonio Spurs,
