head_node_type,head_node_schema,head_node_name,tail_node_type,tail_node_schema,tail_node_schema,head_node_verbose,tail_node_verbose
table,clean,scores,view,bi,game_season,table clean.scores,view bi.game_season
table,clean,player_game_stats,view,bi,player,table clean.player_game_stats,view bi.player
table,dbo,player_full_season_rank,view,bi,player_full_season_rank,table dbo.player_full_season_rank,view bi.player_full_season_rank
table,clean,player_game_stats,view,bi,player_game_stats,table clean.player_game_stats,view bi.player_game_stats
table,dbo,player_position_group_regular_season_percentile,view,bi,player_position_group_regular_season_percentile,table dbo.player_position_group_regular_season_percentile,view bi.player_position_group_regular_season_percentile
table,dbo,player_position_group_regular_season_rank,view,bi,player_position_group_regular_season_rank,table dbo.player_position_group_regular_season_rank,view bi.player_position_group_regular_season_rank
table,dbo,player_regular_season_pat_stats,view,bi,player_regular_season_pat_stats,table dbo.player_regular_season_pat_stats,view bi.player_regular_season_pat_stats
table,dbo,player_regular_season_percentile,view,bi,player_regular_season_percentile,table dbo.player_regular_season_percentile,view bi.player_regular_season_percentile
table,dbo,player_regular_season_rank,view,bi,player_regular_season_rank,table dbo.player_regular_season_rank,view bi.player_regular_season_rank
table,dbo,player_regular_season_rank_by_position_group,view,bi,player_regular_season_rank_by_position_group,table dbo.player_regular_season_rank_by_position_group,view bi.player_regular_season_rank_by_position_group
table,clean,player_game_stats,view,bi,player_season,table clean.player_game_stats,view bi.player_season
table,dbo,player_season_primary_and_concat_position,view,bi,player_season_primary_and_concat_position,table dbo.player_season_primary_and_concat_position,view bi.player_season_primary_and_concat_position
table,dbo,player_season_primary_and_concat_team,view,bi,player_season_primary_and_concat_team,table dbo.player_season_primary_and_concat_team,view bi.player_season_primary_and_concat_team
table,dbo,regular_season_pat_rankings_superstars_and_stars,view,bi,regular_season_pat_rankings_superstars_and_stars,table dbo.regular_season_pat_rankings_superstars_and_stars,view bi.regular_season_pat_rankings_superstars_and_stars
table,clean,scores,view,bi,scores,table clean.scores,view bi.scores
table,clean,player_game_stats,view,bi,season,table clean.player_game_stats,view bi.season
table,dbo,team,view,bi,team,table dbo.team,view bi.team
table,dbo,player_game_stats,stored procedure,cln,clean_player_game_stats,table dbo.player_game_stats,stored procedure cln.clean_player_game_stats
table,dbo,team_score,stored procedure,cln,clean_player_game_stats,table dbo.team_score,stored procedure cln.clean_player_game_stats
stored procedure,cln,clean_player_game_stats,table,clean,player_game_stats,stored procedure cln.clean_player_game_stats,table clean.player_game_stats
table,dbo,scores,stored procedure,cln,clean_scores,table dbo.scores,stored procedure cln.clean_scores
view,dbo,season_type,stored procedure,cln,clean_scores,view dbo.season_type,stored procedure cln.clean_scores
stored procedure,cln,clean_scores,table,clean,scores,stored procedure cln.clean_scores,table clean.scores
table,clean,player_game_stats,stored procedure,dbo,create_player_full_season_rank,table clean.player_game_stats,stored procedure dbo.create_player_full_season_rank
stored procedure,dbo,create_player_full_season_rank,table,dbo,player_full_season_rank,stored procedure dbo.create_player_full_season_rank,table dbo.player_full_season_rank
table,dbo,player_position_group_regular_season_rank,stored procedure,dbo,create_player_position_group_regular_season_percentile,table dbo.player_position_group_regular_season_rank,stored procedure dbo.create_player_position_group_regular_season_percentile
table,dbo,regular_season_min_max_player_position_group_stats,stored procedure,dbo,create_player_position_group_regular_season_percentile,table dbo.regular_season_min_max_player_position_group_stats,stored procedure dbo.create_player_position_group_regular_season_percentile
stored procedure,dbo,create_player_position_group_regular_season_percentile,table,dbo,player_position_group_regular_season_percentile,stored procedure dbo.create_player_position_group_regular_season_percentile,table dbo.player_position_group_regular_season_percentile
table,clean,player_game_stats,stored procedure,dbo,create_player_position_group_regular_season_rank,table clean.player_game_stats,stored procedure dbo.create_player_position_group_regular_season_rank
table,clean,scores,stored procedure,dbo,create_player_position_group_regular_season_rank,table clean.scores,stored procedure dbo.create_player_position_group_regular_season_rank
table,dbo,player_season_primary_and_concat_position,stored procedure,dbo,create_player_position_group_regular_season_rank,table dbo.player_season_primary_and_concat_position,stored procedure dbo.create_player_position_group_regular_season_rank
stored procedure,dbo,create_player_position_group_regular_season_rank,table,dbo,player_position_group_regular_season_rank,stored procedure dbo.create_player_position_group_regular_season_rank,table dbo.player_position_group_regular_season_rank
table,clean,player_game_stats,stored procedure,dbo,create_player_regular_season_pat_stats,table clean.player_game_stats,stored procedure dbo.create_player_regular_season_pat_stats
